iter	Passed	Remaining
0	148	57573
1	148	28873
2	149	19286
3	150	14490
4	150	11611
5	151	9714
6	152	8346
7	153	7320
8	154	6520
9	154	5878
10	155	5351
11	156	4934
12	157	4567
13	158	4250
14	158	3974
15	159	3733
16	160	3527
17	161	3339
18	162	3169
19	163	3016
20	163	2876
21	164	2750
22	165	2633
23	165	2526
24	166	2427
25	166	2336
26	168	2267
27	169	2193
28	170	2122
29	171	2055
30	171	1991
31	172	1934
32	173	1880
33	174	1827
34	175	1777
35	175	1730
36	176	1685
37	177	1642
38	177	1601
39	178	1562
40	179	1525
41	180	1492
42	180	1459
43	181	1427
44	182	1396
45	182	1367
46	183	1339
47	184	1312
48	185	1288
49	185	1264
50	186	1242
51	187	1219
52	188	1197
53	189	1176
54	193	1179
55	194	1159
56	195	1140
57	196	1122
58	196	1103
59	197	1085
60	198	1068
61	198	1052
62	199	1035
63	200	1019
64	200	1004
65	201	990
66	202	977
67	204	967
68	205	954
69	206	942
70	206	929
71	207	917
72	208	906
73	209	894
74	210	882
75	210	871
76	211	860
77	212	848
78	212	837
79	213	827
80	214	817
81	216	814
82	217	805
83	218	796
84	219	787
85	220	778
86	220	769
87	221	760
88	222	753
89	223	744
90	224	736
91	224	728
92	225	720
93	226	711
94	226	703
95	227	696
96	229	692
97	229	685
98	230	678
99	231	671
100	232	664
101	232	657
102	233	651
103	234	645
104	235	639
105	236	633
106	237	627
107	237	621
108	238	615
109	239	609
110	240	605
111	241	600
112	242	595
113	243	588
114	243	583
115	244	577
116	245	572
117	246	567
118	247	562
119	247	557
120	248	552
121	249	547
122	249	542
123	250	537
124	251	532
125	252	528
126	254	526
127	254	521
128	255	517
129	256	513
130	257	509
131	258	505
132	259	500
133	259	496
134	260	492
135	261	487
136	261	483
137	262	479
138	263	475
139	263	471
140	264	467
141	265	463
142	267	461
143	268	458
144	269	454
145	269	450
146	270	447
147	271	444
148	272	440
149	272	436
150	273	433
151	274	429
152	275	426
153	275	422
154	276	418
155	276	415
156	277	411
157	279	410
158	280	407
159	281	404
160	282	401
161	282	397
162	283	394
163	284	392
164	285	389
165	286	386
166	286	382
167	287	379
168	288	376
169	288	373
170	289	370
171	290	367
172	291	365
173	292	362
174	292	359
175	293	357
176	294	354
177	295	351
178	296	349
179	296	346
180	297	343
181	298	340
182	298	338
183	299	335
184	300	332
185	302	331
186	303	329
187	303	326
188	304	323
189	305	321
190	306	318
191	306	316
192	308	314
193	308	312
194	309	309
195	310	307
196	310	304
197	311	302
198	312	299
199	313	298
200	314	296
201	315	293
202	316	291
203	317	289
204	318	287
205	318	284
206	319	282
207	320	280
208	320	277
209	321	275
210	322	273
211	323	271
212	323	269
213	324	266
214	325	264
215	326	262
216	327	260
217	328	258
218	328	256
219	329	254
220	330	252
221	331	250
222	332	248
223	332	246
224	333	244
225	334	242
226	335	240
227	335	238
228	336	236
229	338	235
230	338	233
231	339	231
232	340	229
233	341	227
234	341	225
235	342	223
236	343	221
237	343	219
238	344	217
239	345	215
240	345	213
241	346	211
242	346	209
243	347	207
244	348	206
245	348	204
246	349	202
247	351	201
248	351	199
249	352	197
250	353	195
251	353	193
252	354	191
253	354	190
254	355	188
255	356	186
256	356	184
257	357	182
258	358	181
259	358	179
260	359	177
261	359	175
262	360	174
263	361	172
264	361	170
265	362	168
266	363	167
267	364	165
268	365	164
269	365	162
270	366	160
271	366	159
272	367	157
273	368	155
274	368	154
275	369	152
276	370	150
277	370	149
278	371	147
279	372	146
280	372	144
281	373	143
282	374	141
283	374	139
284	375	138
285	376	136
286	376	135
287	377	133
288	378	132
289	379	130
290	380	129
291	380	127
292	381	126
293	382	125
294	384	123
295	384	122
296	385	120
297	386	119
298	386	117
299	387	116
300	387	114
301	388	113
302	389	111
303	389	110
304	391	109
305	392	107
306	393	106
307	393	104
308	394	103
309	395	102
310	396	100
311	397	99
312	398	97
313	398	96
314	399	95
315	400	93
316	400	92
317	401	90
318	403	89
319	404	88
320	405	87
321	405	85
322	406	84
323	407	83
324	408	81
325	409	80
326	410	79
327	411	77
328	412	76
329	412	75
330	413	73
331	414	72
332	415	71
333	416	69
334	417	68
335	417	67
336	418	65
337	419	64
338	420	63
339	420	61
340	421	60
341	422	59
342	422	57
343	423	56
344	424	55
345	424	54
346	425	52
347	427	51
348	427	50
349	428	48
350	429	47
351	430	46
352	430	45
353	431	43
354	432	42
355	432	41
356	433	40
357	434	38
358	434	37
359	435	36
360	436	35
361	437	33
362	437	32
363	438	31
364	440	30
365	441	28
366	442	27
367	443	26
368	443	25
369	444	24
370	445	22
371	445	21
372	446	20
373	447	19
374	448	17
375	448	16
376	453	15
377	453	14
378	454	13
379	455	11
380	455	10
381	456	9
382	457	8
383	457	7
384	458	5
385	459	4
386	462	3
387	463	2
388	463	1
389	464	0
