iter	Passed	Remaining
0	142	55494
1	144	28004
2	146	18836
3	147	14251
4	149	11498
5	153	9833
6	155	8498
7	156	7495
8	158	6714
9	160	6089
10	161	5576
11	163	5140
12	163	4747
13	164	4410
14	164	4118
15	165	3862
16	165	3637
17	166	3439
18	166	3260
19	167	3098
20	167	2951
21	168	2819
22	169	2703
23	170	2593
24	170	2490
25	171	2396
26	171	2308
27	172	2227
28	172	2151
29	173	2080
30	173	2013
31	174	1951
32	174	1892
33	175	1837
34	176	1785
35	176	1736
36	177	1689
37	177	1645
38	178	1603
39	178	1563
40	179	1531
41	180	1495
42	180	1460
43	181	1427
44	181	1395
45	182	1364
46	182	1335
47	183	1307
48	183	1280
49	184	1254
50	184	1229
51	185	1205
52	185	1182
53	186	1161
54	187	1141
55	187	1120
56	188	1100
57	188	1081
58	189	1062
59	189	1043
60	190	1026
61	190	1009
62	191	992
63	191	977
64	192	962
65	193	947
66	193	933
67	194	919
68	194	905
69	195	892
70	195	879
71	196	866
72	196	854
73	197	842
74	197	830
75	198	819
76	198	808
77	199	797
78	199	787
79	200	776
80	200	766
81	201	756
82	202	747
83	202	737
84	203	728
85	203	720
86	204	712
87	204	703
88	205	695
89	205	686
90	206	678
91	207	670
92	207	662
93	208	655
94	208	647
95	209	640
96	209	633
97	210	626
98	210	619
99	211	612
100	211	606
101	212	599
102	212	592
103	213	586
104	213	580
105	214	574
106	214	568
107	215	562
108	215	556
109	216	550
110	216	544
111	217	539
112	217	533
113	218	528
114	218	522
115	219	517
116	219	512
117	220	507
118	220	502
119	221	497
120	221	493
121	222	488
122	222	483
123	223	479
124	223	474
125	224	470
126	224	465
127	225	461
128	225	457
129	226	452
130	226	448
131	227	444
132	227	440
133	228	436
134	228	432
135	229	428
136	229	424
137	230	420
138	230	416
139	231	413
140	231	409
141	232	405
142	232	402
143	233	398
144	233	395
145	234	391
146	234	388
147	235	384
148	235	381
149	236	378
150	236	374
151	237	371
152	237	368
153	238	365
154	239	362
155	239	359
156	240	356
157	241	353
158	241	351
159	242	348
160	242	345
161	243	342
162	244	340
163	244	337
164	245	334
165	246	332
166	246	329
167	247	326
168	247	323
169	248	321
170	248	318
171	249	316
172	249	313
173	250	310
174	250	308
175	251	305
176	251	303
177	252	300
178	252	298
179	253	295
180	253	293
181	254	290
182	254	288
183	255	285
184	255	283
185	256	281
186	256	278
187	257	276
188	258	274
189	258	272
190	259	270
191	259	267
192	260	265
193	260	263
194	261	261
195	261	259
196	262	256
197	262	254
198	263	252
199	263	250
200	264	248
201	264	246
202	265	244
203	265	242
204	266	240
205	266	238
206	267	236
207	267	234
208	268	232
209	268	230
210	269	228
211	269	226
212	270	224
213	270	222
214	271	220
215	271	218
216	272	216
217	272	215
218	273	213
219	273	211
220	274	209
221	274	208
222	275	206
223	275	204
224	276	202
225	276	200
226	277	199
227	277	197
228	278	195
229	278	194
230	279	192
231	279	190
232	280	188
233	280	187
234	281	185
235	281	183
236	282	182
237	282	180
238	283	179
239	283	177
240	284	175
241	284	174
242	285	172
243	286	171
244	286	169
245	287	168
246	287	166
247	288	164
248	288	163
249	289	161
250	289	160
251	290	158
252	290	157
253	291	155
254	291	154
255	292	153
256	292	151
257	293	150
258	293	148
259	294	147
260	294	145
261	295	144
262	295	142
263	296	141
264	296	140
265	297	138
266	297	137
267	298	135
268	298	134
269	299	133
270	299	131
271	300	130
272	300	128
273	301	127
274	301	126
275	302	124
276	302	123
277	303	122
278	303	120
279	304	119
280	304	118
281	305	116
282	305	115
283	306	114
284	306	113
285	307	111
286	307	110
287	308	109
288	308	107
289	309	106
290	310	105
291	310	104
292	311	103
293	311	101
294	312	100
295	312	99
296	313	98
297	313	96
298	314	95
299	314	94
300	315	93
301	315	92
302	316	90
303	316	89
304	317	88
305	317	87
306	318	86
307	318	84
308	319	83
309	319	82
310	320	81
311	320	80
312	321	79
313	321	77
314	322	76
315	322	75
316	323	74
317	323	73
318	324	72
319	324	71
320	325	69
321	325	68
322	326	67
323	327	66
324	327	65
325	328	64
326	328	63
327	329	62
328	329	61
329	330	60
330	330	58
331	331	57
332	331	56
333	332	55
334	332	54
335	333	53
336	333	52
337	334	51
338	334	50
339	335	49
340	335	48
341	336	47
342	336	46
343	337	45
344	337	44
345	338	43
346	338	41
347	339	40
348	339	39
349	340	38
350	340	37
351	341	36
352	341	35
353	342	34
354	342	33
355	343	32
356	343	31
357	344	30
358	345	29
359	345	28
360	346	27
361	346	26
362	347	25
363	347	24
364	348	23
365	348	22
366	349	21
367	349	20
368	350	19
369	350	18
370	351	17
371	351	17
372	352	16
373	352	15
374	353	14
375	353	13
376	354	12
377	354	11
378	355	10
379	355	9
380	356	8
381	356	7
382	357	6
383	357	5
384	358	4
385	358	3
386	359	2
387	359	1
388	360	0
389	360	0
