iter	Passed	Remaining
0	165	64494
1	167	32487
2	168	21676
3	168	16276
4	169	13035
5	170	10920
6	171	9393
7	172	8242
8	173	7344
9	174	6644
10	175	6055
11	177	5592
12	178	5171
13	182	4897
14	186	4671
15	187	4389
16	188	4139
17	189	3914
18	195	3818
19	196	3644
20	197	3476
21	200	3346
22	200	3206
23	201	3078
24	203	2970
25	204	2859
26	205	2757
27	205	2662
28	209	2603
29	210	2523
30	216	2506
31	221	2482
32	222	2410
33	223	2341
34	226	2295
35	234	2306
36	237	2266
37	240	2224
38	240	2167
39	253	2218
40	254	2165
41	255	2116
42	256	2069
43	267	2104
44	268	2058
45	283	2120
46	284	2076
47	285	2033
48	286	1991
49	288	1962
50	295	1962
51	296	1924
52	297	1888
53	297	1853
54	298	1819
55	299	1786
56	300	1754
57	301	1724
58	302	1694
59	302	1665
60	303	1636
61	304	1610
62	305	1584
63	307	1565
64	309	1546
65	310	1525
66	316	1526
67	317	1503
68	318	1480
69	319	1460
70	320	1439
71	322	1425
72	335	1455
73	336	1435
74	336	1414
75	337	1394
76	341	1387
77	354	1416
78	356	1404
79	375	1454
80	376	1434
81	376	1415
82	377	1396
83	378	1379
84	385	1384
85	386	1366
86	388	1353
87	389	1336
88	390	1320
89	391	1303
90	401	1320
91	402	1305
92	405	1293
93	408	1285
94	410	1273
95	415	1272
96	416	1258
97	418	1245
98	420	1234
99	421	1221
100	421	1207
101	520	1469
102	522	1455
103	537	1478
104	538	1461
105	575	1542
106	576	1524
107	577	1507
108	578	1490
109	579	1474
110	580	1457
111	580	1441
112	581	1424
113	584	1415
114	585	1400
115	586	1385
116	595	1389
117	596	1375
118	597	1361
119	606	1365
120	611	1358
121	612	1345
122	613	1331
123	614	1319
124	615	1305
125	616	1292
126	617	1278
127	618	1265
128	620	1254
129	620	1241
130	628	1243
131	629	1230
132	630	1218
133	633	1210
134	634	1198
135	652	1218
136	653	1206
137	655	1196
138	657	1186
139	658	1176
140	676	1194
141	686	1199
142	688	1189
143	689	1177
144	690	1167
145	691	1156
146	692	1145
147	698	1142
148	715	1157
149	719	1151
150	725	1148
151	733	1148
152	734	1138
153	735	1127
154	745	1130
155	746	1119
156	747	1109
157	748	1099
158	756	1099
159	757	1089
160	758	1079
161	760	1069
162	761	1060
163	770	1061
164	777	1060
165	783	1057
166	791	1056
167	792	1047
168	799	1045
169	801	1037
170	803	1029
171	804	1019
172	805	1010
173	817	1015
174	818	1005
175	825	1003
176	826	994
177	827	985
178	827	975
179	835	975
180	837	966
181	846	967
182	847	958
183	848	950
184	856	949
185	858	941
186	859	932
187	867	931
188	875	930
189	876	922
190	877	913
191	886	914
192	888	906
193	890	899
194	891	891
195	891	882
196	900	882
197	904	876
198	908	872
199	909	864
200	910	856
201	916	852
202	922	850
203	923	842
204	924	834
205	926	827
206	927	820
207	928	812
208	929	805
209	934	801
210	937	795
211	938	787
212	939	780
213	942	774
214	943	768
215	944	761
216	945	753
217	950	750
218	957	747
219	958	740
220	959	733
221	960	727
222	962	721
223	966	716
224	968	709
225	971	704
226	971	697
227	972	691
228	973	684
229	977	679
230	979	674
231	980	667
232	981	661
233	986	657
234	993	655
235	994	648
236	995	642
237	997	636
238	997	630
239	998	624
240	1003	620
241	1005	615
242	1006	608
243	1007	602
244	1009	597
245	1009	591
246	1010	585
247	1013	580
248	1016	575
249	1017	569
250	1018	564
251	1022	559
252	1029	557
253	1030	551
254	1034	547
255	1035	541
256	1037	537
257	1038	531
258	1039	525
259	1040	520
260	1041	514
261	1045	510
262	1047	505
263	1048	500
264	1048	494
265	1052	490
266	1053	485
267	1053	479
268	1059	476
269	1067	474
270	1068	469
271	1069	464
272	1070	458
273	1077	456
274	1078	450
275	1081	446
276	1081	441
277	1082	436
278	1089	433
279	1090	428
280	1090	423
281	1091	418
282	1095	414
283	1096	409
284	1097	404
285	1101	400
286	1105	396
287	1106	391
288	1107	386
289	1109	382
290	1118	380
291	1120	376
292	1121	371
293	1122	366
294	1124	362
295	1130	359
296	1138	356
297	1138	351
298	1139	346
299	1140	342
300	1143	337
301	1143	333
302	1146	329
303	1150	325
304	1151	320
305	1153	316
306	1154	312
307	1155	307
308	1157	303
309	1162	300
310	1167	296
311	1167	291
312	1283	315
313	1286	311
314	1287	306
315	1288	301
316	1289	296
317	1290	292
318	1294	288
319	1299	284
320	1303	280
321	1305	275
322	1306	271
323	1307	266
324	1308	261
325	1309	257
326	1316	253
327	1318	249
328	1319	244
329	1333	242
330	1334	237
331	1335	233
332	1336	228
333	1338	224
334	1339	219
335	1341	215
336	1352	212
337	1357	208
338	1358	204
339	1359	199
340	1360	195
341	1412	198
342	1413	193
343	1414	189
344	1414	184
345	1416	180
346	1417	175
347	1418	171
348	1420	166
349	1428	163
350	1436	159
351	1437	155
352	1438	150
353	1440	146
354	1443	142
355	1444	137
356	1444	133
357	1447	129
358	1447	125
359	1448	120
360	1450	116
361	1451	112
362	1452	108
363	1453	103
364	1455	99
365	1467	96
366	1468	92
367	1469	87
368	1472	83
369	1472	79
370	1473	75
371	1492	72
372	1493	68
373	1495	63
374	1496	59
375	1497	55
376	1498	51
377	1499	47
378	1500	43
379	1501	39
380	1501	35
381	1502	31
382	1503	27
383	1504	23
384	1505	19
385	1508	15
386	1509	11
387	1510	7
388	1512	3
389	1513	0
