iter	Passed	Remaining
0	135	52662
1	137	26627
2	139	17991
3	147	14280
4	158	12237
5	159	10220
6	160	8807
7	163	7791
8	164	6946
9	164	6262
10	166	5722
11	171	5393
12	172	5006
13	173	4661
14	174	4358
15	175	4092
16	177	3885
17	178	3683
18	178	3495
19	181	3356
20	185	3251
21	186	3113
22	187	2994
23	188	2875
24	190	2788
25	191	2686
26	192	2592
27	194	2518
28	198	2471
29	199	2390
30	199	2313
31	200	2241
32	200	2173
33	202	2124
34	203	2067
35	204	2011
36	205	1957
37	207	1925
38	214	1928
39	215	1887
40	216	1844
41	217	1801
42	218	1759
43	220	1730
44	220	1692
45	221	1654
46	221	1618
47	223	1594
48	224	1562
49	225	1531
50	228	1521
51	229	1492
52	230	1465
53	231	1438
54	232	1416
55	233	1391
56	233	1366
57	234	1341
58	235	1321
59	236	1298
60	237	1280
61	238	1259
62	238	1239
63	239	1218
64	239	1198
65	241	1186
66	242	1168
67	242	1150
68	243	1132
69	250	1143
70	251	1127
71	251	1111
72	252	1094
73	252	1078
74	253	1063
75	253	1047
76	255	1036
77	255	1023
78	256	1010
79	260	1011
80	261	998
81	262	986
82	263	973
83	263	961
84	264	948
85	266	941
86	267	930
87	267	918
88	268	906
89	268	894
90	270	888
91	271	879
92	272	869
93	273	860
94	274	851
95	275	842
96	276	833
97	276	825
98	284	835
99	285	827
100	286	820
101	287	812
102	288	802
103	288	793
104	291	790
105	291	782
106	292	773
107	293	765
108	293	756
109	300	765
110	302	759
111	302	751
112	303	743
113	303	735
114	304	727
115	304	719
116	306	715
117	307	708
118	308	701
119	308	694
120	309	687
121	316	695
122	317	688
123	319	684
124	319	678
125	320	671
126	320	664
127	321	657
128	323	654
129	324	648
130	324	641
131	325	636
132	332	643
133	334	638
134	335	632
135	335	626
136	336	620
137	336	614
138	339	612
139	340	607
140	340	601
141	341	595
142	342	591
143	346	591
144	347	586
145	348	581
146	348	576
147	350	573
148	351	568
149	352	563
150	352	558
151	353	553
152	353	547
153	354	542
154	358	543
155	359	539
156	360	534
157	360	529
158	361	525
159	363	522
160	364	517
161	364	513
162	365	508
163	365	503
164	367	501
165	368	497
166	369	493
167	370	489
168	370	485
169	371	480
170	371	476
171	373	473
172	374	469
173	375	465
174	375	461
175	377	458
176	378	455
177	378	451
178	379	447
179	380	443
180	380	439
181	382	437
182	383	433
183	384	430
184	384	426
185	385	423
186	386	419
187	387	415
188	388	412
189	389	409
190	389	405
191	390	402
192	392	400
193	392	396
194	393	393
195	393	389
196	394	386
197	396	384
198	397	381
199	397	377
200	399	375
201	400	372
202	400	368
203	401	365
204	401	362
205	403	360
206	404	357
207	404	354
208	405	351
209	407	349
210	411	348
211	412	346
212	412	343
213	413	340
214	414	337
215	416	335
216	416	332
217	417	329
218	417	326
219	419	323
220	419	321
221	420	318
222	420	315
223	421	312
224	422	309
225	422	306
226	423	303
227	425	302
228	425	299
229	426	296
230	427	293
231	427	291
232	429	289
233	430	286
234	431	284
235	432	281
236	432	279
237	433	276
238	433	274
239	434	271
240	436	269
241	436	267
242	437	264
243	438	262
244	439	260
245	445	260
246	447	258
247	447	256
248	448	253
249	449	251
250	449	249
251	450	246
252	451	244
253	451	241
254	459	243
255	460	241
256	461	238
257	461	236
258	462	233
259	462	231
260	464	229
261	465	227
262	465	224
263	466	222
264	467	220
265	468	218
266	475	219
267	476	216
268	477	214
269	477	212
270	479	210
271	480	208
272	480	206
273	481	203
274	483	202
275	484	200
276	484	197
277	488	196
278	490	194
279	490	192
280	491	190
281	491	188
282	492	186
283	494	184
284	494	182
285	495	180
286	496	178
287	498	176
288	499	174
289	499	172
290	500	170
291	501	168
292	501	166
293	502	164
294	504	162
295	505	160
296	505	158
297	506	156
298	507	154
299	508	152
300	508	150
301	509	148
302	515	147
303	515	145
304	516	143
305	517	141
306	518	140
307	519	138
308	519	136
309	520	134
310	522	132
311	522	130
312	523	128
313	523	126
314	530	126
315	532	124
316	532	122
317	533	120
318	533	118
319	534	116
320	537	115
321	537	113
322	538	111
323	539	109
324	540	108
325	540	106
326	544	104
327	545	103
328	546	101
329	548	99
330	549	97
331	549	96
332	551	94
333	551	92
334	552	90
335	552	88
336	553	87
337	560	86
338	561	84
339	562	82
340	562	80
341	564	79
342	565	77
343	565	75
344	566	73
345	569	72
346	570	70
347	571	69
348	572	67
349	573	65
350	573	63
351	575	62
352	576	60
353	576	58
354	577	56
355	577	55
356	579	53
357	580	51
358	581	50
359	587	48
360	588	47
361	589	45
362	590	43
363	590	42
364	593	40
365	593	38
366	594	37
367	594	35
368	596	33
369	596	32
370	597	30
371	598	28
372	599	27
373	601	25
374	602	24
375	603	22
376	603	20
377	604	19
378	606	17
379	606	15
380	607	14
381	614	12
382	614	11
383	615	9
384	615	7
385	616	6
386	616	4
387	618	3
388	618	1
389	619	0
